Ano	Max_ano
1971	40.2
1972	59
1973	53.1
1974	70
1975	49.6
1976	78.4
1977	67
1978	79.2
1979	99.9
1980	70
1981	68.6
1982	86.4
1983	63.4
1984	91
1985	87.5
1986	77
1987	64.7
1988	54.4
1989	82.8
1990	58
1991	63.5
1992	71.6
1993	60
1994	57
1995	90.7
1996	67.6
1997	56.5
1998	70.3
1999	59
2000	73.5
2001	70.5
2002	67.9
2003	88.7
2004	89.5
2005	61.3
2006	86.4
2007	74.1
2008	60.1
2009	85.7
2010	71.6
2011	92
2012	97.2
2013	71
2014	52.4
2015	82.3
2016	93.7
2017	68.8
2018	54.1
2019	60
2020	79.8
